Japanese,English
私 (watashi),I / me
あなた (anata),you
彼 (kare),he / boyfriend
彼女 (kanojo),she / girlfriend
人 (hito),person
子供 (kodomo),child
友達 (tomodachi),friend
家族 (kazoku),family
名前 (namae),name
時間 (jikan),time
日 (hi),day
今日 (kyō),today
昨日 (kinō),yesterday
明日 (ashita),tomorrow
朝 (asa),morning
昼 (hiru),afternoon
夜 (yoru),night
今 (ima),now
後 (ato),after
前 (mae),before / front
場所 (basho),place
家 (ie),house / home
学校 (gakkō),school
仕事 (shigoto),work / job
会社 (kaisha),company
国 (kuni),country
日本 (nihon),Japan
世界 (sekai),world
水 (mizu),water
食べ物 (tabemono),food
お金 (okane),money
車 (kuruma),car
電車 (densha),train
電話 (denwa),phone
本 (hon),book
名前 (namae),name
話 (hanashi),story / talk
言葉 (kotoba),word / language
問題 (mondai),problem
理由 (riyū),reason
意味 (imi),meaning
方法 (hōhō),way / method
大丈夫 (daijōbu),okay / fine
本当 (hontō),true / really
好き (suki),like / love
嫌い (kirai),dislike
愛 (ai),love
良い (ii),good
悪い (warui),bad
大きい (ōkii),big
小さい (chiisai),small
新しい (atarashii),new
古い (furui),old
高い (takai),expensive / high
安い (yasui),cheap
長い (nagai),long
短い (mijikai),short
早い (hayai),early / fast
遅い (osoi),late / slow
多い (ōi),many
少ない (sukunai),few
面白い (omoshiroi),interesting
楽しい (tanoshii),fun
悲しい (kanashii),sad
怖い (kowai),scary
疲れた (tsukareta),tired
嬉しい (ureshii),happy
行く (iku),go
来る (kuru),come
帰る (kaeru),return home
見る (miru),see / watch
聞く (kiku),listen / ask
話す (hanasu),speak
言う (iu),say
読む (yomu),read
書く (kaku),write
食べる (taberu),eat
飲む (nomu),drink
買う (kau),buy
売る (uru),sell
作る (tsukuru),make
使う (tsukau),use
持つ (motsu),have / hold
取る (toru),take
置く (oku),put / place
開ける (akeru),open
閉める (shimeru),close
始める (hajimeru),start
終わる (owaru),finish
寝る (neru),sleep
起きる (okiru),wake up
会う (au),meet
知る (shiru),know
分かる (wakaru),understand
思う (omou),think
覚える (oboeru),remember / learn
忘れる (wasureru),forget
好きです (suki desu),I like it
ありがとう (arigatō),thank you
すみません (sumimasen),excuse me / sorry
ごめんなさい (gomennasai),sorry
お願いします (onegaishimasu),please
はい (hai),yes
いいえ (iie),no
でも (demo),but
だから (dakara),so / therefore
そして (soshite),and then
また (mata),again
いつ (itsu),when
どこ (doko),where
何 (nani),what
誰 (dare),who
なぜ (naze),why
どう (dō),how
これ (kore),this
それ (sore),that
あれ (are),that over there
ここ (koko),here
そこ (soko),there
